[sweep] 모터 [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] 0토크 폴링 시작 (Ctrl+C로 종료·저장)
  miss={1: 6422, 2: 6422, 3: 6422, 4: 6422, 5: 6422, 6: 6422, 7: 6422, 8: 6422, 9: 6422, 10: 6422, 11: 6422, 12: 6422}
  miss={1: 6608, 2: 6608, 3: 6608, 4: 6608, 5: 6608, 6: 6608, 7: 6608, 8: 6608, 9: 6608, 10: 6608, 11: 6608, 12: 6608}
  miss={1: 6794, 2: 6794, 3: 6794, 4: 6794, 5: 6794, 6: 6794, 7: 6794, 8: 6794, 9: 6794, 10: 6794, 11: 6794, 12: 6794}
  miss={1: 6980, 2: 6980, 3: 6980, 4: 6980, 5: 6980, 6: 6980, 7: 6980, 8: 6980, 9: 6980, 10: 6980, 11: 6980, 12: 6980}
  miss={1: 7166, 2: 7166, 3: 7166, 4: 7166, 5: 7166, 6: 7166, 7: 7166, 8: 7166, 9: 7166, 10: 7166, 11: 7166, 12: 7166}
  miss={1: 7351, 2: 7351, 3: 7351, 4: 7351, 5: 7351, 6: 7351, 7: 7351, 8: 7351, 9: 7351, 10: 7351, 11: 7351, 12: 7351}
  miss={1: 7537, 2: 7537, 3: 7537, 4: 7537, 5: 7537, 6: 7537, 7: 7537, 8: 7537, 9: 7537, 10: 7537, 11: 7537, 12: 7537}
  miss={1: 7723, 2: 7723, 3: 7723, 4: 7723, 5: 7723, 6: 7723, 7: 7723, 8: 7723, 9: 7723, 10: 7723, 11: 7723, 12: 7723}
  miss={1: 7909, 2: 7909, 3: 7909, 4: 7909, 5: 7909, 6: 7909, 7: 7909, 8: 7909, 9: 7909, 10: 7909, 11: 7909, 12: 7909}
  miss={1: 8095, 2: 8095, 3: 8095, 4: 8095, 5: 8095, 6: 8095, 7: 8095, 8: 8095, 9: 8095, 10: 8095, 11: 8095, 12: 8095}
  miss={1: 8281, 2: 8281, 3: 8281, 4: 8281, 5: 8281, 6: 8281, 7: 8281, 8: 8281, 9: 8281, 10: 8281, 11: 8281, 12: 8281}
  miss={1: 8330, 2: 8330, 3: 8330, 4: 8330, 5: 8330, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.4~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8330, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8330, 4: 8330, 5: 8331, 6: 8368, 7: 8330, 8: 8330, 9: 8330, 10: 8330, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+13.9(+13.9~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8412, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+18.9(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
1:+44.4(+44.3~+44.4) | 2:+10.2(+10.2~+10.2) | 3:+4.9(-0.0~+4.9) | 4:+32.6(+32.6~+32.6) | 5:+19.0(+18.9~+19.0) | 6:+3.9(-0.0~+13.9) | 7:+38.3(+38.3~+38.3) | 8:+17.9(+17.9~+17.9) | 9:+0.8(+0.8~+0.8) | 10:+14.3(+14.3~+14.3) | 11:+26.8(+26.8~+26.8) | 12:+6.7(+6.7~+6.7)  miss={1: 8331, 2: 8331, 3: 8331, 4: 8330, 5: 8331, 6: 8444, 7: 8330, 8: 8331, 9: 8330, 10: 8331, 11: 8330, 12: 8330}
