페이로드 강건성 그리드 평가 — checkpoint: /home/ryu/humanoid_leg_test1/logs/rsl_rl/biped12_stage4/2026-07-26_14-53-03/model_12994.pt
조건: 64 env × 15s, cmd_x=0.4 m/s. 로봇 자중 10.49kg (12URDF0725)
판정: 낙상env비율 <10% = PASS, 10~30% = 한계, >30% = FAIL
==========================================================================
부착위치              질량 |    낙상env |      추종오차 |     평균기울기 | 판정
기준(0kg)           0kg |   0/64 (   0%) |   0.081m/s |    3.93° | PASS
위(+z13cm)         1kg |   0/64 (   0%) |   0.077m/s |    4.07° | PASS
위(+z13cm)         2kg |   0/64 (   0%) |   0.073m/s |    4.16° | PASS
위(+z13cm)         3kg |   0/64 (   0%) |   0.073m/s |    4.24° | PASS
위(+z13cm)         5kg |   0/64 (   0%) |   0.069m/s |    4.49° | PASS
앞(+x7cm)          1kg |   0/64 (   0%) |   0.080m/s |    3.76° | PASS
앞(+x7cm)          2kg |   0/64 (   0%) |   0.079m/s |    3.59° | PASS
앞(+x7cm)          3kg |   0/64 (   0%) |   0.086m/s |    3.45° | PASS
앞(+x7cm)          5kg |   2/64 (   3%) |   0.118m/s |    3.52° | PASS
뒤(-x7cm)          1kg |   0/64 (   0%) |   0.078m/s |    4.33° | PASS
뒤(-x7cm)          2kg |   0/64 (   0%) |   0.077m/s |    4.78° | PASS
뒤(-x7cm)          3kg |   0/64 (   0%) |   0.077m/s |    5.21° | PASS
뒤(-x7cm)          5kg |   0/64 (   0%) |   0.073m/s |    6.14° | PASS
