페이로드 강건성 그리드 평가 — checkpoint: /home/ryu/humanoid_leg_test1/logs/rsl_rl/biped12_stage4/2026-07-26_12-15-16/model_8996.pt
조건: 64 env × 15s, cmd_x=0.4 m/s. 로봇 자중 10.49kg (12URDF0725)
판정: 낙상env비율 <10% = PASS, 10~30% = 한계, >30% = FAIL
==========================================================================
부착위치              질량 |    낙상env |      추종오차 |     평균기울기 | 판정
기준(0kg)           0kg |   0/64 (   0%) |   0.086m/s |    6.33° | PASS
위(+z13cm)         1kg |   0/64 (   0%) |   0.084m/s |    6.51° | PASS
위(+z13cm)         2kg |   0/64 (   0%) |   0.078m/s |    6.74° | PASS
위(+z13cm)         3kg |   0/64 (   0%) |   0.081m/s |    6.86° | PASS
위(+z13cm)         5kg |   0/64 (   0%) |   0.085m/s |    7.19° | PASS
앞(+x7cm)          1kg |   0/64 (   0%) |   0.086m/s |    6.09° | PASS
앞(+x7cm)          2kg |   0/64 (   0%) |   0.087m/s |    5.92° | PASS
앞(+x7cm)          3kg |   0/64 (   0%) |   0.093m/s |    5.75° | PASS
앞(+x7cm)          5kg |   1/64 (   2%) |   0.122m/s |    5.39° | PASS
뒤(-x7cm)          1kg |   0/64 (   0%) |   0.084m/s |    6.90° | PASS
뒤(-x7cm)          2kg |   0/64 (   0%) |   0.083m/s |    7.29° | PASS
뒤(-x7cm)          3kg |   0/64 (   0%) |   0.082m/s |    7.76° | PASS
뒤(-x7cm)          5kg |   0/64 (   0%) |   0.080m/s |    8.64° | PASS
